filename,score
shiva1_Stress_L4_006.wav,-0.0123
shiva1_Stress_L4_009.wav,-0.0693
stephy_Stress_L1_003.wav,-0.6143
stephy_Stress_L1_008.wav,-0.0156
stephy_Stress_L1_012.wav,-0.8522
stephy_Stress_L2_001.wav,-0.2117
stephy_Stress_L2_003.wav,-0.0106
stephy_Stress_L2_005.wav,-0.0060
stephy_Stress_L2_006.wav,-0.0021
stephy_Stress_L2_007.wav,-0.0128
stephy_Stress_L2_008.wav,-0.0257
stephy_Stress_L2_009.wav,-0.0115
stephy_Stress_L3_001.wav,-0.1134
stephy_Stress_L4_001.wav,-1.0934
stephy_Stress_L4_004.wav,-0.0207
stephy_Stress_L4_005.wav,-0.2743
stephy_Stress_L4_006.wav,-0.1222
stephy_Stress_L4_009.wav,-1.5756
sunitha_Stress_L1_003.wav,-0.0157
sunitha_Stress_L1_008.wav,-0.1635
sunitha_Stress_L1_012.wav,-0.0020
sunitha_Stress_L2_001.wav,-0.0147
sunitha_Stress_L2_003.wav,-0.0057
sunitha_Stress_L2_005.wav,-0.0425
sunitha_Stress_L2_006.wav,-0.0885
sunitha_Stress_L2_007.wav,-0.0424
sunitha_Stress_L2_008.wav,-0.0006
sunitha_Stress_L2_009.wav,-2.1789
sunitha_Stress_L3_001.wav,-0.0097
sunitha_Stress_L4_001.wav,-2.3757
sunitha_Stress_L4_004.wav,-0.3342
sunitha_Stress_L4_005.wav,-0.2734
sunitha_Stress_L4_006.wav,-0.2130
sunitha_Stress_L4_009.wav,-0.2804
triesa_Stress_L1_003.wav,-0.0042
triesa_Stress_L1_008.wav,-0.0748
triesa_Stress_L1_012.wav,-0.7171
triesa_Stress_L2_001.wav,-0.0949
triesa_Stress_L2_003.wav,-0.0028
triesa_Stress_L2_005.wav,-0.0145
triesa_Stress_L2_006.wav,-0.0254
triesa_Stress_L2_007.wav,-0.0182
triesa_Stress_L2_008.wav,-0.0192
triesa_Stress_L2_009.wav,-0.0038
triesa_Stress_L3_001.wav,-0.0003
triesa_Stress_L4_001.wav,-1.2070
triesa_Stress_L4_004.wav,-0.0183
triesa_Stress_L4_005.wav,-0.1224
triesa_Stress_L4_006.wav,-0.2775
triesa_Stress_L4_009.wav,-0.0061
venkatt_Stress_L1_003.wav,-0.0882
venkatt_Stress_L1_008.wav,-0.0120
venkatt_Stress_L1_012.wav,-0.8392
venkatt_Stress_L2_001.wav,-0.0121
venkatt_Stress_L2_003.wav,-0.0010
venkatt_Stress_L2_005.wav,-0.2952
venkatt_Stress_L2_006.wav,-0.0022
venkatt_Stress_L2_007.wav,-0.0411
venkatt_Stress_L2_008.wav,-0.1821
venkatt_Stress_L2_009.wav,-0.0189
venkatt_Stress_L3_001.wav,-0.0002
venkatt_Stress_L4_001.wav,-1.5529
venkatt_Stress_L4_004.wav,-0.0124
venkatt_Stress_L4_005.wav,-0.2731
venkatt_Stress_L4_006.wav,-0.8663
venkatt_Stress_L4_009.wav,-0.1936
venktapa_Stress_L1_003.wav,-1.8406
venktapa_Stress_L1_008.wav,-0.0012
venktapa_Stress_L1_012.wav,-0.2595
venktapa_Stress_L2_001.wav,-0.1391
venktapa_Stress_L2_003.wav,-2.6670
venktapa_Stress_L2_005.wav,-0.1014
venktapa_Stress_L2_006.wav,-0.0720
venktapa_Stress_L2_007.wav,-0.3901
venktapa_Stress_L2_008.wav,-0.0006
venktapa_Stress_L2_009.wav,-0.1938
venktapa_Stress_L3_001.wav,-0.0133
venktapa_Stress_L4_001.wav,-1.2524
venktapa_Stress_L4_004.wav,-1.0925
venktapa_Stress_L4_005.wav,-0.0192
venktapa_Stress_L4_006.wav,-0.1884
venktapa_Stress_L4_009.wav,-2.0434
vijje_Stress_L1_003.wav,-0.1433
vijje_Stress_L1_008.wav,-0.0189
vijje_Stress_L1_012.wav,-0.5178
vijje_Stress_L2_001.wav,-0.2639
vijje_Stress_L2_003.wav,-0.4599
vijje_Stress_L2_005.wav,-0.0412
vijje_Stress_L2_006.wav,-0.0071
vijje_Stress_L2_007.wav,-1.5116
vijje_Stress_L2_008.wav,-0.0004
vijje_Stress_L2_009.wav,-0.1038
vijje_Stress_L3_001.wav,-0.0309
vijje_Stress_L4_001.wav,-1.0033
vijje_Stress_L4_004.wav,-0.0048
vijje_Stress_L4_005.wav,-0.2812
vijje_Stress_L4_006.wav,-0.5183
vijje_Stress_L4_009.wav,-0.1160
vishal1_Stress_L1_003.wav,-0.5189
vishal1_Stress_L1_008.wav,-0.0105
vishal1_Stress_L2_001.wav,-0.3225
vishal1_Stress_L2_003.wav,-0.2114
vishal1_Stress_L2_005.wav,-0.0598
vishal1_Stress_L2_006.wav,-0.0054
vishal1_Stress_L2_007.wav,-0.3374
vishal1_Stress_L2_008.wav,-0.0001
vishal1_Stress_L2_009.wav,-0.0004
vishal1_Stress_L3_001.wav,-0.4357
vishal1_Stress_L4_001.wav,-2.7640
vishal1_Stress_L4_004.wav,-0.6589
vishal1_Stress_L4_005.wav,-0.0672
vishal1_Stress_L4_006.wav,-0.6613
vishal1_Stress_L4_029.wav,-1.3229
vishal1_Stress_L4_033.wav,-0.0111
